COD_IBGE,MUNICIPIO,UF,REGIAO_TURISTICA,CLUSTER,QUANTIDADE_EMPREGOS,QUANTIDADE_ESTABELECIMENTOS,EMPREGOS_POR_ESTABELECIMENTO,VISITAS_INTERNACIONAIS_EST,VISITAS_NACIONAIS_EST,TOTAL_VISITAS_ESTIMADAS,ARRECADACAO,PIB_PER_CAPITA_R$,POPULACAO_2019
4308805,General Câmara,RS,Carbonífera,D,0.0,0,,0.0,14888.0,14888.0,0.0,26399.76,8385
4311205,Júlio de Castilhos,RS,Central,D,5.0,1,5.0,0.0,0.0,0.0,0.0,63845.69,19293
5108006,Tapurah,MT,Região Turística Portal do Agronegócio,D,9.0,3,3.0,0.0,0.0,0.0,0.0,64161.87,13705
5108055,Terra Nova do Norte,MT,Região Turística Portal da Amazônia,D,2.0,1,2.0,0.0,0.0,0.0,0.0,29480.61,9667
5219209,Santa Cruz de Goiás,GO,Região Turística da Estrada de Ferro,D,0.0,1,0.0,0.0,0.0,0.0,0.0,48198.58,2855
5219902,São Francisco de Goiás,GO,Região Turística do Ouro e Cristais,D,0.0,1,0.0,0.0,0.0,0.0,0.0,16462.44,6264
1702703,Aurora do Tocantins,TO,Serras Gerais,E,0.0,0,,0.0,0.0,0.0,0.0,12477.89,3757
2204659,Ilha Grande,PI,Polo Costa do Delta,D,0.0,0,,4834.0,0.0,4834.0,0.0,8092.28,9426
2207900,Pedro II,PI,Polo Aventura e Mistério,D,7.0,2,3.5,222.0,19929.0,20151.0,0.0,8878.4,38742
2402501,Carnaubais,RN,Polo Costa Branca,D,0.0,0,,0.0,6127.0,6127.0,0.0,16235.56,10759
2500304,Alagoa Grande,PB,Brejo,D,3.0,1,3.0,77.0,1215.0,1292.0,0.0,9699.38,28496
2516904,Uiraúna,PB,Vale dos Dinossauros,D,0.0,0,,0.0,6997.0,6997.0,0.0,11427.53,15242
2603009,Cabrobó,PE,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO,D,18.0,4,4.5,139.0,3499.0,3638.0,0.0,12063.7,34221
2614600,Tabira,PE,TERRITÓRIO DA POESIA E DA CANTORIA,D,7.0,2,3.5,0.0,2733.0,2733.0,0.0,9818.65,28534
2928901,São Desidério,BA,Caminhos do Oeste,D,26.0,2,13.0,0.0,0.0,0.0,0.0,76949.79,33742
2929206,São Francisco do Conde,BA,Baía de Todos os Santos,D,3.0,1,3.0,76.0,22377.0,22453.0,0.0,210629.4,39802
3109204,Buenópolis,MG,Serra do Cabral,D,9.0,2,4.5,243.0,0.0,243.0,0.0,12248.8,10365
